request_time,iloc[-1] close (e.g. 20260814  19:30:00),iloc[-1] volume (e.g. 20260814  19:30:00),iloc[-2] close (e.g. 20260814  19:00:00),iloc[-2] volume (e.g. 20260814  19:00:00),iloc[-3] close (e.g. 20260814  18:30:00),iloc[-3] volume (e.g. 20260814  18:30:00),iloc[-4] close (e.g. 20260814  18:00:00),iloc[-4] volume (e.g. 20260814  18:00:00),iloc[-5] close (e.g. 20260814  17:30:00),iloc[-5] volume (e.g. 20260814  17:30:00)
19:56,201.33,7283,201.64,16251,202.09,24285,202.94,28321,201.61,32934
19:58,200.97,8567,201.64,16251,202.09,24285,202.94,28321,201.61,32934
20:00,201.11,9670,201.64,16251,202.09,24285,202.94,28321,201.61,32934
20:02,201.05,10313,201.64,16251,202.09,24285,202.94,28321,201.61,32934
20:04,201.06,11094,201.64,16251,202.09,24285,202.94,28321,201.61,32934
20:06,201.08,11826,201.64,16251,202.09,24285,202.94,28321,201.61,32934
20:08,201.23,12805,201.64,16251,202.09,24285,202.94,28321,201.61,32934
20:10,201.4,13404,201.64,16251,202.09,24285,202.94,28321,201.61,32934
20:12,201.34,14716,201.64,16251,202.09,24285,202.94,28321,201.61,32934
20:14,201.43,15670,201.64,16251,202.09,24285,202.94,28321,201.61,32934
20:16,201.5,345,201.45,15957,201.64,16251,202.09,24285,202.94,28321
20:18,201.75,1152,201.45,15957,201.64,16251,202.09,24285,202.94,28321
20:20,201.93,1772,201.45,15957,201.64,16251,202.09,24285,202.94,28321
20:22,201.77,2784,201.45,15957,201.64,16251,202.09,24285,202.94,28321
20:24,201.83,4574,201.45,15957,201.64,16251,202.09,24285,202.94,28321
20:26,201.9,5674,201.45,15957,201.64,16251,202.09,24285,202.94,28321
20:28,201.98,7992,201.45,15957,201.64,16251,202.09,24285,202.94,28321
20:30,201.91,8865,201.45,15957,201.64,16251,202.09,24285,202.94,28321
20:32
20:34,202.23,11130,201.45,15957,201.64,16251,202.09,24285,202.94,28321
